id,full_name,year_make,year_use,cost,sp_use_method_id,sp_direct_use_id,sp_country_id,sp_yes_no_id,sp_vuz_id
443,Измеритель RLC Е7-21,2011,2011,23836.0,5,2,17,1,84
444,Измеритель RLC Е7-20,2012,2012,85200.0,5,2,17,1,84
445,Центрифуга медицинская СМ-50,2007,2007,26000.0,8,1,90,1,84
446,Генератор сигналов специальной формы ГСС 93/1,2007,2007,51894.0,5,2,201,1,84
447,Шкаф сушильный snol 67/350,2010,2010,36822.0,8,4,95,1,84
448,Станция паяльная HAKKO 936,2008,2009,4820.0,8,4,157,1,84
449,Станция паяльная Quick-963 ESD Lead Free,2009,2009,3689.0,8,4,81,1,84
450,Осциллограф цифровой TDS-2012C,2011,2011,53340.0,5,2,143,1,84
451,Осциллограф цифровой GDS-820C,2010,2010,43758.0,5,2,167,1,84
452,Источник питания Б5-71/4 ,2004,2004,29343.0,5,2,140,1,84
453,Источник питания Б5-47 ,2004,2004,14242.0,5,2,140,1,84
454,Источник питания АТН-1533,2006,2006,13528.0,5,2,81,1,84
455,Измеритель влажности GENTER-311,2009,2009,5583.0,8,2,167,1,84
456,Измеритель температуры DT-8891,2011,2011,4463.0,8,2,81,1,84
457,Источник питания MPS-3005D,2011,2011,5580.0,5,2,81,1,84
458,Мультиметр APPA 109N,2013,2013,8415.0,5,2,167,1,84
459,Мультиметр APPA 107N,2011,2011,6048.0,5,2,167,1,84
460,Аквадистиллятор АД-5,2011,2011,11000.0,8,4,140,1,84
461,Осциллограф Tectronix DPO3032,2013,2014,72033.9,5,2,81,1,84
462,Осциллограф Актаком АСК-6209,2013,2014,50508.5,5,2,81,1,84
463,Логический анализатор АКИП-9102,2013,2014,33474.6,7,2,167,1,84
464,Мультимикроскоп СМ-2000-15Е  ,2002,2002,1000000.0,3,2,140,1,84
465,Мультимикроскоп СМ-2000-15Е  ,2002,2002,1000000.0,3,2,140,1,84
466,Мультимикроскоп СМ-2000-15Е  ,2002,2002,1000000.0,3,2,140,1,84
467,Измеритель иммитанса Instek LCR-78105G,2013,2014,500000.0,5,2,167,1,84
468,Принтер трехмерный 3D Cubex Duo,2013,2014,355932.0,8,4,81,1,84
469,Сканер лазерный 3D Roland LPX-60DS,2013,2014,338983.0,8,4,204,1,84
470,Фрезеровальная машина с ЧПУ Roland MDX-40A,2013,2014,254237.0,8,4,204,1,84
471,Токарный станок с ЧПУ Quantum D210X400 Vario,2013,2014,201695.0,8,4,81,1,84
472,Лазерная гравировальная машина GCC LaserPro Spirit GX/GLS 30 Вт,2013,2014,847458.0,8,4,204,1,84
473,Каттер Roland Camm 1 Pro GX-640,2013,2014,169492.0,8,4,204,1,84
474,Плоттер Epson SureColor SC-S30610,2013,2014,593220.0,8,4,81,1,84
